Frame,Vehicle Count
1,3
2,2
3,3
4,3
5,3
6,3
7,3
8,2
9,2
10,2
11,2
12,2
13,1
14,3
15,2
16,4
17,4
18,2
19,3
20,4
21,3
22,4
23,4
24,3
25,3
26,3
27,4
28,3
29,2
30,2
31,2
32,1
33,1
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,3
65,2
66,2
67,2
68,2
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,4
78,3
79,4
80,4
81,4
82,4
83,5
84,4
85,4
86,3
87,3
88,2
89,2
90,3
91,3
92,3
93,3
94,1
95,1
96,1
97,1
98,1
99,1
100,2
101,2
102,1
103,1
104,1
105,1
106,1
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,3
116,2
117,3
118,2
119,3
120,3
121,2
122,2
123,2
124,3
125,2
126,2
127,2
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,2
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,2
162,2
163,2
164,2
165,1
166,1
167,2
168,1
169,1
170,2
171,1
172,2
173,2
174,2
175,2
176,2
177,3
178,3
179,2
180,3
181,3
182,3
183,3
184,4
185,4
186,3
187,3
188,3
189,3
190,3
191,3
192,3
193,3
194,3
195,3
196,3
197,3
198,3
199,3
200,3
201,3
202,3
203,3
204,3
205,3
206,3
207,3
208,4
209,5
210,4
211,5
212,4
213,5
214,4
215,5
216,4
217,4
218,5
219,4
220,5
221,4
222,5
223,4
224,5
225,5
226,6
227,6
228,5
229,4
230,4
231,4
232,3
233,4
234,3
235,4
236,3
237,2
238,4
239,2
240,2
241,1
242,2
243,3
244,3
245,3
246,2
247,2
248,3
249,3
250,4
251,3
252,2
253,2
254,2
